cohort_week,purchase_week,l0_category,customer_count,cohort_index
2022-03-28,2022-04-25,Baby Care,4126,4
2022-03-28,2022-06-13,Dairy & Breakfast,66685,11
2022-04-18,2022-06-27,Sauces & Spreads,2269,10
2022-04-18,2022-05-02,"Chicken, Meat & Fish",559,2
2022-04-04,2022-06-13,Organic & Premium,5939,10
2022-03-28,2022-06-06,Bakery & Biscuits,26740,10
2022-04-04,2022-06-13,Pet Care,710,10
2022-05-09,2022-06-20,Sweet Tooth,2987,6
2022-05-09,2022-05-09,"Tea, Coffee & Health Drinks",16424,0
2022-05-16,2022-06-13,Sweet Tooth,2538,4
2022-05-02,2022-05-23,Pharma & Wellness,6,3
2022-05-02,2022-05-23,Specials,6,3
2022-03-28,2022-06-20,Pet Care,1161,12
2022-05-23,2022-05-30,Sauces & Spreads,31,1
2022-05-30,2022-06-20,Paan Corner,652,3
2022-03-28,2022-04-11,"Atta, Rice & Dal",42017,2
2022-05-02,2022-05-23,Vegetables & Fruits,106,3
2022-03-28,2022-06-27,"Dry Fruits, Masala & Oil",29342,13
2022-05-16,2022-06-20,Sauces & Spreads,1621,5
2022-05-16,2022-05-23,"Dry Fruits, Masala & Oil",41,1
2022-04-11,2022-05-23,Home & Office,21,6
2022-05-09,2022-05-30,"Tea, Coffee & Health Drinks",2981,3
2022-04-11,2022-06-20,"Atta, Rice & Dal",14618,10
2022-03-28,2022-04-11,"Dry Fruits, Masala & Oil",48189,2
2022-05-02,2022-05-23,Personal Care,23,3
2022-04-18,2022-06-27,Bakery & Biscuits,3941,10
2022-05-02,2022-06-20,"Tea, Coffee & Health Drinks",3925,7
2022-05-30,2022-05-30,"Dry Fruits, Masala & Oil",175825,0
2022-05-16,2022-06-27,Paan Corner,272,6
2022-04-11,2022-06-06,"Chicken, Meat & Fish",668,8
2022-03-28,2022-06-06,Sauces & Spreads,15032,10
2022-05-30,2022-06-27,Home & Office,1680,4
2022-05-16,2022-06-20,Bakery & Biscuits,3352,5
2022-03-28,2022-05-16,"Dry Fruits, Masala & Oil",40251,7
2022-03-28,2022-06-20,Specials,9376,12
2022-04-04,2022-06-13,Specials,3757,10
2022-04-18,2022-05-23,Sweet Tooth,19,5
2022-05-23,2022-05-30,Bakery & Biscuits,73,1
2022-05-09,2022-06-27,"Atta, Rice & Dal",3527,7
2022-03-28,2022-03-28,Specials,2,0
2022-04-11,2022-04-25,Munchies,15191,2
2022-05-09,2022-05-09,Paan Corner,1208,0
2022-04-04,2022-04-04,Cold Drinks & Juices,69839,0
2022-05-02,2022-05-09,Dairy & Breakfast,16491,1
2022-03-28,2022-04-18,Pharma & Wellness,6746,3
2022-04-04,2022-05-02,Sweet Tooth,16643,4
2022-04-25,2022-05-09,Organic & Premium,1637,2
2022-04-25,2022-06-13,Instant & Frozen Food,4427,7
2022-03-28,2022-04-18,Vegetables & Fruits,73748,3
2022-04-04,2022-04-25,Cold Drinks & Juices,35355,3
2022-05-30,2022-06-06,Cold Drinks & Juices,9349,1
2022-05-23,2022-06-27,"Chicken, Meat & Fish",6,5
2022-06-06,2022-06-06,Instant & Frozen Food,16410,0
2022-05-23,2022-06-27,Dairy & Breakfast,220,5
2022-04-04,2022-06-13,Cold Drinks & Juices,24683,10
2022-03-28,2022-03-28,Pet Care,1457,0
2022-03-28,2022-04-18,Personal Care,25282,3
2022-04-25,2022-04-25,Instant & Frozen Food,26876,0
2022-04-18,2022-05-02,Cleaning Essentials,5709,2
2022-04-18,2022-05-30,Dairy & Breakfast,13046,6
2022-06-06,2022-06-13,Baby Care,697,1
2022-04-04,2022-04-18,Paan Corner,1169,2
2022-04-11,2022-05-30,Organic & Premium,2372,7
2022-05-23,2022-06-27,Cold Drinks & Juices,118,5
2022-04-25,2022-06-27,"Tea, Coffee & Health Drinks",2383,9
2022-04-25,2022-05-23,Dairy & Breakfast,93,4
2022-06-13,2022-06-13,Munchies,22888,0
2022-06-13,2022-06-20,Dairy & Breakfast,11316,1
2022-03-28,2022-04-25,Home & Office,17718,4
2022-05-09,2022-05-30,Pet Care,102,3
2022-04-04,2022-06-06,Cleaning Essentials,19281,9
2022-04-25,2022-05-16,"Atta, Rice & Dal",6398,3
2022-05-02,2022-05-23,Organic & Premium,5,3
2022-04-04,2022-06-13,"Chicken, Meat & Fish",1543,10
2022-03-28,2022-05-30,Sweet Tooth,16018,9
2022-04-11,2022-05-09,"Dry Fruits, Masala & Oil",17622,4
2022-04-04,2022-06-13,Pharma & Wellness,3831,10
2022-06-13,2022-06-27,"Dry Fruits, Masala & Oil",3844,2
2022-04-04,2022-05-16,Bakery & Biscuits,20320,6
2022-06-06,2022-06-20,Dairy & Breakfast,12692,2
2022-04-04,2022-06-13,Vegetables & Fruits,44319,10
2022-04-11,2022-04-18,"Dry Fruits, Masala & Oil",16207,1
2022-05-09,2022-06-20,Cleaning Essentials,3126,6
2022-05-09,2022-06-13,Home & Office,2029,5
2022-04-25,2022-05-16,"Tea, Coffee & Health Drinks",4524,3
2022-06-20,2022-06-27,Dairy & Breakfast,13705,1
2022-05-30,2022-06-13,"Atta, Rice & Dal",6629,2
2022-06-06,2022-06-20,Paan Corner,644,2
2022-04-04,2022-06-13,Personal Care,18615,10
2022-04-25,2022-06-27,Munchies,4241,9
2022-04-04,2022-04-04,"Chicken, Meat & Fish",1943,0
2022-03-28,2022-04-18,Baby Care,3947,3
2022-04-04,2022-06-20,"Dry Fruits, Masala & Oil",38854,11
2022-04-11,2022-06-27,Cleaning Essentials,5012,11
2022-04-11,2022-05-30,"Dry Fruits, Masala & Oil",13765,7
2022-05-30,2022-06-06,"Chicken, Meat & Fish",585,1
2022-04-18,2022-05-23,"Tea, Coffee & Health Drinks",20,5
2022-04-04,2022-05-16,Sauces & Spreads,10361,6
2022-04-04,2022-04-25,"Chicken, Meat & Fish",1734,3
2022-04-11,2022-04-25,Sweet Tooth,7826,2
2022-04-11,2022-05-02,Organic & Premium,3201,3
2022-04-04,2022-05-30,Instant & Frozen Food,17330,8
2022-04-25,2022-04-25,Pet Care,692,0
2022-04-25,2022-05-09,Cold Drinks & Juices,8515,2
2022-03-28,2022-04-18,Sauces & Spreads,16966,3
2022-04-11,2022-06-20,Instant & Frozen Food,9279,10
2022-04-18,2022-05-02,Dairy & Breakfast,18867,2
2022-04-18,2022-05-30,Cleaning Essentials,4415,6
2022-04-25,2022-06-20,Baby Care,768,8
2022-04-04,2022-05-02,Munchies,34837,4
2022-05-02,2022-05-16,Paan Corner,471,2
2022-05-02,2022-06-13,Baby Care,636,6
2022-06-27,2022-06-27,Cold Drinks & Juices,12275,0
2022-05-23,2022-06-27,Cleaning Essentials,76,5
2022-03-28,2022-04-18,Bakery & Biscuits,30602,3
2022-04-18,2022-06-06,Paan Corner,525,7
2022-04-04,2022-04-18,Instant & Frozen Food,23737,2
2022-04-11,2022-04-11,Paan Corner,1368,0
2022-04-25,2022-04-25,Specials,4615,0
2022-05-02,2022-05-09,Cleaning Essentials,3819,1
2022-05-23,2022-05-30,"Tea, Coffee & Health Drinks",54,1
2022-04-25,2022-05-30,Cold Drinks & Juices,5824,5
2022-04-04,2022-05-09,Instant & Frozen Food,23184,5
2022-05-16,2022-06-20,Cold Drinks & Juices,3499,5
2022-04-04,2022-05-23,Baby Care,7,7
2022-04-25,2022-05-16,Baby Care,598,3
2022-03-28,2022-06-06,"Tea, Coffee & Health Drinks",24571,10
2022-04-04,2022-06-13,Sauces & Spreads,11346,10
2022-05-02,2022-06-20,Paan Corner,506,7
2022-04-25,2022-06-13,Paan Corner,483,7
2022-03-28,2022-05-30,Munchies,28796,9
2022-04-18,2022-06-27,Organic & Premium,1190,10
2022-04-11,2022-06-27,Specials,1516,11
2022-06-13,2022-06-13,Sweet Tooth,12913,0
2022-04-11,2022-06-27,Dairy & Breakfast,14889,11
2022-05-23,2022-06-13,Pet Care,4,3
2022-05-16,2022-06-20,Organic & Premium,993,5
2022-04-11,2022-04-25,"Atta, Rice & Dal",14559,2
2022-04-25,2022-05-30,"Chicken, Meat & Fish",337,5
2022-04-04,2022-05-16,Personal Care,16662,6
2022-05-23,2022-05-30,Organic & Premium,17,1
2022-05-09,2022-06-20,Dairy & Breakfast,10801,6
2022-05-16,2022-06-20,"Chicken, Meat & Fish",288,5
2022-05-09,2022-05-16,Home & Office,2276,1
2022-06-20,2022-06-27,Cleaning Essentials,2816,1
2022-06-06,2022-06-20,Cleaning Essentials,3221,2
2022-06-06,2022-06-13,Home & Office,2760,1
2022-04-25,2022-06-27,Sweet Tooth,2071,9
2022-05-16,2022-06-13,"Dry Fruits, Masala & Oil",4883,4
2022-05-23,2022-06-13,Specials,6,3
2022-04-04,2022-05-16,Vegetables & Fruits,46907,6
2022-04-04,2022-06-13,Bakery & Biscuits,21291,10
2022-04-11,2022-06-27,Pet Care,230,11
2022-04-25,2022-05-09,"Chicken, Meat & Fish",522,2
2022-06-13,2022-06-27,Paan Corner,385,2
2022-03-28,2022-05-23,Paan Corner,4,8
2022-04-04,2022-05-16,Pharma & Wellness,3180,6
2022-04-04,2022-06-06,Dairy & Breakfast,53337,9
2022-04-25,2022-06-13,"Atta, Rice & Dal",6954,7
2022-04-11,2022-06-06,Baby Care,1377,8
2022-03-28,2022-06-06,Organic & Premium,8776,10
2022-04-25,2022-05-23,Cleaning Essentials,21,4
2022-06-13,2022-06-20,Cleaning Essentials,2699,1
2022-06-27,2022-06-27,"Chicken, Meat & Fish",872,0
2022-04-04,2022-05-02,"Tea, Coffee & Health Drinks",23689,4
2022-06-13,2022-06-13,Home & Office,7889,0
2022-05-30,2022-06-20,Instant & Frozen Food,5062,3
2022-04-18,2022-05-16,Instant & Frozen Food,5784,4
2022-05-23,2022-06-20,"Atta, Rice & Dal",162,4
2022-05-16,2022-05-30,"Atta, Rice & Dal",3349,2
2022-06-20,2022-06-27,Cold Drinks & Juices,6081,1
2022-04-11,2022-05-02,Paan Corner,655,3
2022-05-09,2022-05-16,Munchies,6643,1
2022-05-23,2022-05-23,Home & Office,111774,0
2022-04-11,2022-05-30,Baby Care,1069,7
2022-04-25,2022-05-09,Sauces & Spreads,3047,2
2022-04-11,2022-05-02,Vegetables & Fruits,23638,3
2022-04-11,2022-05-30,Bakery & Biscuits,8112,7
2022-05-09,2022-06-27,Cold Drinks & Juices,3168,7
2022-05-02,2022-05-09,Sweet Tooth,4474,1
2022-04-25,2022-05-23,Instant & Frozen Food,17,4
2022-04-18,2022-05-09,Pet Care,231,3
2022-04-11,2022-05-02,Pharma & Wellness,2026,3
2022-04-04,2022-05-09,"Atta, Rice & Dal",34917,5
2022-04-11,2022-05-02,Personal Care,10168,3
2022-04-18,2022-06-27,Instant & Frozen Food,3882,10
2022-04-04,2022-05-23,Cold Drinks & Juices,63,7
2022-04-11,2022-04-18,Sweet Tooth,8172,1
2022-05-02,2022-05-02,Home & Office,12127,0
2022-04-11,2022-05-30,Sauces & Spreads,4194,7
2022-05-09,2022-05-16,Cold Drinks & Juices,6709,1
2022-04-18,2022-05-09,Specials,9,3
2022-04-25,2022-05-09,Bakery & Biscuits,6101,2
2022-04-04,2022-04-18,Cleaning Essentials,20538,2
2022-03-28,2022-06-06,Munchies,35558,10
2022-06-06,2022-06-20,Cold Drinks & Juices,5783,2
2022-04-04,2022-04-11,Munchies,32912,1
2022-06-20,2022-06-20,"Atta, Rice & Dal",28948,0
2022-05-23,2022-05-30,Vegetables & Fruits,125,1
2022-05-16,2022-06-20,Vegetables & Fruits,6868,5
2022-05-02,2022-05-23,Sauces & Spreads,8,3
2022-05-23,2022-05-30,Pharma & Wellness,13,1
2022-04-04,2022-05-23,"Chicken, Meat & Fish",3,7
2022-04-18,2022-04-25,"Tea, Coffee & Health Drinks",7152,1
2022-05-16,2022-06-20,Pharma & Wellness,620,5
2022-04-11,2022-04-11,Home & Office,17609,0
2022-05-09,2022-05-16,"Chicken, Meat & Fish",461,1
2022-04-18,2022-06-27,Vegetables & Fruits,8281,10
2022-05-16,2022-06-06,Home & Office,1681,3
2022-04-18,2022-06-27,Pharma & Wellness,781,10
2022-04-18,2022-05-02,Baby Care,882,2
2022-05-09,2022-06-20,Munchies,5713,6
2022-04-25,2022-06-06,"Dry Fruits, Masala & Oil",8489,6
2022-05-16,2022-06-13,Munchies,4536,4
2022-04-18,2022-05-30,Paan Corner,407,6
2022-06-06,2022-06-20,"Chicken, Meat & Fish",500,2
2022-03-28,2022-06-06,Personal Care,24906,10
2022-05-02,2022-05-02,"Dry Fruits, Masala & Oil",39546,0
2022-04-18,2022-06-27,Personal Care,3517,10
2022-06-13,2022-06-27,"Atta, Rice & Dal",3083,2
2022-05-02,2022-05-23,Bakery & Biscuits,23,3
2022-06-06,2022-06-13,"Dry Fruits, Masala & Oil",7722,1
2022-03-28,2022-06-06,Pharma & Wellness,5137,10
2022-06-20,2022-06-27,"Chicken, Meat & Fish",632,1
2022-04-25,2022-06-27,Home & Office,1710,9
2022-03-28,2022-06-06,Vegetables & Fruits,61318,10
2022-04-04,2022-05-16,Organic & Premium,5685,6
2022-05-23,2022-05-30,Personal Care,69,1
2022-03-28,2022-05-23,"Atta, Rice & Dal",88,8
2022-04-18,2022-05-23,Munchies,54,5
2022-05-16,2022-06-20,Personal Care,2677,5
2022-05-09,2022-06-27,"Chicken, Meat & Fish",209,7
2022-03-28,2022-05-16,Dairy & Breakfast,69660,7
2022-03-28,2022-06-20,Home & Office,18198,12
2022-03-28,2022-06-13,Cleaning Essentials,19941,11
2022-06-06,2022-06-27,"Atta, Rice & Dal",3789,3
2022-04-18,2022-06-13,"Tea, Coffee & Health Drinks",5076,8
